ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007155	cell adhesion	139/697	259/1959	1.23576493005543e-10	3.06469702653746e-07	2.62502487247563e-07	Ptprs/Ildr2/Ptprz1/Nrxn2/Flot1/Sema4d/Ncam2/Efnb3/Edil3/Adam10/Myadm/Ctnnd2/Cntnap1/Pip5k1c/Nid2/Klc1/Thy1/Lamc1/Cfh/Itgb1/Lrrc4b/Fn1/Cntn1/Ncam1/Atp1b1/Calr/Atp1b2/Ppia/Bsg/Lama1/Vcam1/Ctnnd1/Cd81/Gpm6b/Cxcl12/Itgav/Efnb1/Efnb2/Ephb3/Ncan/Actn4/Ripk2/Mdga2/Rap2b/Rhob/Rac1/Hspd1/Ptn/Gnas/Dlg3/Plxna1/Plxna3/Nptn/Nrp1/Cxadr/Sirpa/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Hspg2/Itgb8/Plxnd1/Cttn/Icam5/Lama2/Adam9/Astn1/Prdx2/Lamb2/Cntn2/Bcan/Cd55/Alcam/Hsph1/Il1rap/Mog/Vcan/Dlg4/Sema5a/Spock1/Ccn3/Prex1/Nlgn2/Megf10/Nrxn3/Magi1/Sdk2/Cspg5/Robo2/Lrrc7/Adgrl1/Adgrl3/Plxna4/Hapln4/Lrfn4/Tnc/Astn2/Negr1/Amigo2/Nfasc/Nrcam/Dlg1/Tspan9/Lsamp/Kirrel3/Rell2/Lrfn5/Tnr/Lrrc4c/Plxnb1/Cadm4/Ntng1/Cadm1/Cd99/Lrp1/Clstn3/Cadm3/Rtn4/Ntm/P2ry12/Cntnap2/Nrxn1/Prkar1a/Tsc1/Clstn1/Spock2/Nectin1/Tesc/Srcin1/Dbn1/Macf1/Plxnc1/Celsr2/Adam23/Coro1c/Dmtn/Plcb1	139
BP	GO:0048699	generation of neurons	193/697	401/1959	4.49924004347093e-09	4.12931255059617e-06	3.53690693000979e-06	Agrn/Ptprs/Ptprz1/Akap5/Farp1/Bin1/Dpysl2/Flot1/Numbl/Sema4d/Efnb3/Notch2/Adam10/Hap1/Ctnnd2/Cntnap1/Strn/Pip5k1c/Atp9a/Adcy1/Thy1/Lamc1/Gfap/Cfh/Sod1/Nefl/Itgb1/Fn1/Camk2a/Itpr1/Cntn1/Ncam1/Calr/Atp1b2/Map1b/Ntrk2/Cnp/Ap2a1/Ppia/Bsg/Lama1/Nefh/Gnaq/Gja1/Rasgrf1/Mt3/Camk2b/Kif5c/Vcam1/Grin1/Gpm6a/Gpm6b/Fyn/Cxcl12/Htt/Syt2/Cnr1/Cit/Efnb1/Efnb2/Ephb3/Ncan/Cd38/Plp1/Mdga2/Snap25/Actr2/Lpar1/Rap1a/Rac1/Olfm3/Ptn/Tuba1a/Plxna1/Plxna3/Nptn/Nrp1/Cacna1a/Gfra1/Vldlr/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Kcnb1/Plxnd1/Vwc2l/Prag1/Islr2/Cttn/Lama2/Arhgef2/Astn1/Lamb2/Cntn2/Bcan/Alcam/Vcan/Dlg4/Dpysl3/Sema5a/Spock1/Epha6/Agtpbp1/Grm7/Crtc1/Git1/Prex1/Nlgn2/Tmem132e/Rgma/Dclk2/Sdk2/Dagla/Tiam2/Rtn4rl2/Cyfip1/Plppr4/Robo2/Tafa1/Map6/Lrrc7/Adgrl3/Snph/Plxna4/Hapln4/Arhgap33/Tnc/Astn2/Negr1/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Rpl24/Kirrel3/Gprin3/Tnr/Lrrc4c/Rapgef2/Ngef/Plxnb1/Ahi1/Itpka/Iqsec1/Dock7/Ntng1/Crtac1/Wasf1/Mark1/Acsl6/Daglb/Srgap2/Lrp1/Brinp1/Tspan2/Camk2g/Nptxr/Gpr37l1/Clstn3/Actr3/Rims1/Rtn4/Rtn4r/Ntm/Cntnap2/Nrxn1/Lingo1/Rpl4/Tsc1/Tubb3/Mapk8ip2/Rtn3/Lgi1/Nectin1/Pin1/Sema7a/Srcin1/Dbn1/Macf1/Map1a/Plxnc1/Atp2b2/Celsr2/Uchl1/Epb41l3/Tpbg/Twf2/Cpne6/Rasal1/Mecp2	193
BP	GO:0022008	neurogenesis	212/697	450/1959	6.10775794894406e-09	4.12931255059617e-06	3.53690693000979e-06	Ckap5/Agrn/Ptprs/Ptprz1/Akap5/Farp1/Bin1/Dpysl2/Flot1/Numbl/Sema4d/Efnb3/Notch2/Adam10/Npc1/Hap1/Ctnnd2/Cntnap1/Strn/Pip5k1c/Atp9a/Sorl1/Adcy1/Thy1/Lamc1/Gfap/Cfh/Sod1/Nefl/Itgb1/Fn1/Camk2a/Itpr1/Cntn1/Ncam1/Calr/Atp1b2/Map1b/Ntrk2/Cnp/Ap2a1/Ppia/Bsg/Lama1/Nefh/Hexb/Gnaq/Gja1/Rasgrf1/Mt3/Camk2b/Kif5c/Vcam1/Grin2a/Grin1/Gpm6a/Gpm6b/Fyn/Cxcl12/Htt/Syt2/Cnr1/Cit/Efnb1/Efnb2/Ephb3/Ncan/Cd38/Plp1/Mdga2/Snap25/Actr2/Lpar1/Rras2/Rap1a/Rac1/Olfm3/Ptn/Tuba1a/Plxna1/Plxna3/Nptn/Nrp1/Cacna1a/Rgs14/Gfra1/Vldlr/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Kcnb1/Plxnd1/Grm5/Vwc2l/Prag1/Islr2/Cttn/Lama2/Arhgef2/Astn1/Lamb2/Cntn2/Bcan/Alcam/Vcan/Dlg4/Dpysl3/Sema5a/Spock1/Epha6/Agtpbp1/Grm7/Crtc1/Git1/Prex1/Nlgn2/Lemd2/Tmem132e/Rgma/Dclk2/Sdk2/Dagla/Tiam2/Cspg5/Rtn4rl2/Cyfip1/Plppr4/Robo2/Tafa1/Map6/Lrrc7/Adgrl3/Daam2/Snph/Plxna4/Hapln4/Arhgap33/Tnc/Astn2/Negr1/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Rpl24/Gjc2/Kirrel3/Gprin3/Tnr/Lrrc4c/Synj1/Rapgef2/Ngef/Plxnb1/Ahi1/Itpka/Iqsec1/Dock7/Ntng1/Dusp15/Crtac1/Wasf1/Sirt2/Mark1/Acsl6/Daglb/Srgap2/Lrp1/Brinp1/Tspan2/Camk2g/Nptxr/Gpr37l1/Clstn3/Actr3/Rims1/Rtn4/Rtn4r/Ntm/P2ry12/Cntnap2/Nrxn1/Lingo1/Rpl4/Tsc1/Tubb3/Mapk8ip2/Rtn3/Lgi1/Nectin1/Pin1/Sema7a/Srcin1/Plec/Dbn1/Macf1/Map1a/Plxnc1/Gpc1/Atp2b2/Celsr2/Uchl1/Adam22/Epb41l3/Tpbg/Twf2/Cpne6/Rasal1/Mecp2	212
BP	GO:0007610	behavior	101/697	182/1959	6.66018153321962e-09	4.12931255059617e-06	3.53690693000979e-06	Ckap5/Scn1a/Scn2a/Ptprz1/Nrxn2/Dctn1/Efnb3/Npc1/Ctnnd2/Strn/Adcy1/Alb/Sod1/Itgb1/Cntn1/Ncam1/Atp1b2/Insr/Ntrk2/Cnp/Gnao1/Hexb/Gnaq/Gja1/Gria1/Grin2a/Grin1/Cxcl12/Htt/Slc1a2/Cnr1/Gad1/Ppp3cb/Pmch/Snap25/Ptn/Kcna2/Prkcg/Tuba1a/Nptn/Cacna1a/Rgs14/Grin2b/Egfr/Epha4/Grm2/Slc17a7/Grm5/Zdhhc8/Adora1/Ppp1r1b/Vdac3/Astn1/Cacna1e/Slc6a3/Cntn2/Dlg4/Agtpbp1/Grm7/Crtc1/Grm4/Git1/Nlgn2/Nrxn3/Atp1a3/Tafa2/Adgrl3/Negr1/Shank2/Adgrb3/Lsamp/Olfm2/Kirrel3/Slc24a2/Tnr/Shisa7/Synpo/Synj1/Ahi1/Slc8a2/Sgip1/Adcy3/Brinp1/Clstn3/Park7/Cntnap2/Nrxn1/Atad1/Tsc1/Mapk8ip2/Uchl3/Dbn1/Map1a/Atp2b2/Uchl1/Mmp17/Adam11/Adam22/Tpbg/Plcb1/Mecp2	101
BP	GO:0051960	regulation of nervous system development	87/697	156/1959	6.43240277375214e-08	2.85213498470635e-05	2.44295772459144e-05	Agrn/Ptprs/Ptprz1/Akap5/Bin1/Numbl/Sema4d/Efnb3/Notch2/Hap1/Sorl1/Thy1/Gfap/Nefl/Itgb1/Lrrc4b/Fn1/Map1b/Ntrk2/Mt3/Camk2b/Cxcl12/Cit/Ephb3/Ncan/Actr2/Ptn/Plxna1/Plxna3/Nptn/Nrp1/Rgs14/Egfr/Notch1/Ctnnb1/Epha4/Plxnd1/Adgrb1/Grm5/Islr2/Arhgef2/Bcan/Il1rap/Vcan/Dlg4/Sema5a/Nlgn2/Rgma/Tiam2/Cyfip1/Robo2/Map6/Adgrl1/Adgrl3/Daam2/Plxna4/Hapln4/Amigo2/Adgrb3/Slitrk4/Dlg1/Gjc2/Tnr/Synj1/Rapgef2/Plxnb1/Itpka/Dock7/Sirt2/Lrp1/Brinp1/Gpr37l1/Clstn3/Actr3/Rtn4/Rtn4r/Nrxn1/Lingo1/Rpl4/Clstn1/Sema7a/Dbn1/Macf1/Plxnc1/Tpbg/Twf2/Mecp2	87
BP	GO:0007267	cell-cell signaling	188/697	399/1959	6.90032657590247e-08	2.85213498470635e-05	2.44295772459144e-05	Ckap5/Agrn/Ptprs/Grik3/Frrs1l/Dlgap4/Gnai1/Ildr2/Akap5/Mctp1/Nrxn2/Farp1/Cacna2d1/Flot1/Efnb3/Hap1/Ctnnd2/Strn/Adcy1/Cacng2/Thy1/Gfap/Nefl/Gnai2/Itgb1/Lynx1/Camk2a/Itpr1/Ncam1/Glul/Ntrk2/Gnao1/Nefh/Gna11/Gnaq/Gja1/Gria1/Rasgrf1/Camk2b/Ctnnd1/Chrm4/Grin2a/Grin1/Fyn/Cxcl12/Abca1/Htt/Itgav/Syt2/Ina/Rph3a/Grm8/Cnr1/Anxa5/Ppp3cb/Ncan/Cd38/Pmch/Nrgn/Snap25/Rap1a/Rac1/Ptn/Gnas/Kcna2/Dynll1/Prkcg/Rps12/Prkcb/Dlg3/Rasgrf2/Irs2/Cplx2/Nptn/Cacna1a/Rgs14/Cxadr/Grin2b/Egfr/Notch1/Ctnnb1/Epha4/Kcnb1/Itgb8/Grm2/Slc17a7/Shisa6/Adgrb1/Camkv/Sorbs2/Grm5/Adora1/Lama2/Slc30a1/Vdac3/Cacna1e/Slc6a3/Il1rap/Dlg4/Ddx3x/Sema5a/Sh3gl1/Kcnc3/Ccn3/Grm7/Crtc1/Grm4/Git1/Nlgn2/Dgkb/Nrxn3/Dagla/Cspg5/Scn4b/Cyfip1/Plppr4/Phf24/Daam2/Madd/Rab3gap1/Hapln4/C2cd2l/Tnc/Shank2/Dlg1/Tmem198/Synpr/Dlgap2/Slc17a6/Dmxl2/Gjc2/Prkaa2/Csnk1g1/Slc24a2/Rgs8/Tnr/Lrrc4c/Shisa7/Gpr158/Ank2/Synpo/Amer2/Gpc3/Gnal/Synj1/Rapgef2/Ly6g6e/Slc8a2/Itpka/Iqsec1/Kcnc4/Ntng1/Cadm1/Mark1/Lrp1/Tardbp/Slc12a6/Clstn3/Park7/Rims1/Rtn4/P2ry12/Cntnap2/Nrxn1/Shisa9/Dlgap1/Atad1/Prkar1a/Clstn1/Sorcs2/Mapk8ip2/Gucy1a1/Lgi1/Pin1/Dbn1/Macf1/Ndrg2/Map1a/Grm3/Pclo/Atp2b2/Celsr2/Gabbr1/Mpp2/Tpbg/Plcb1/P2rx7/Mecp2	188
BP	GO:0030182	neuron differentiation	182/697	385/1959	9.06058462097933e-08	3.21003569428982e-05	2.74951274663703e-05	Agrn/Ptprs/Ptprz1/Akap5/Farp1/Bin1/Dpysl2/Flot1/Numbl/Sema4d/Efnb3/Adam10/Hap1/Ctnnd2/Cntnap1/Strn/Pip5k1c/Atp9a/Adcy1/Thy1/Lamc1/Gfap/Cfh/Sod1/Nefl/Itgb1/Fn1/Camk2a/Itpr1/Cntn1/Ncam1/Calr/Atp1b2/Map1b/Ntrk2/Cnp/Ap2a1/Ppia/Bsg/Lama1/Nefh/Gnaq/Gja1/Rasgrf1/Mt3/Camk2b/Kif5c/Vcam1/Grin1/Gpm6a/Gpm6b/Fyn/Cxcl12/Htt/Syt2/Cnr1/Cit/Efnb1/Efnb2/Ephb3/Cd38/Plp1/Snap25/Actr2/Lpar1/Rap1a/Rac1/Olfm3/Ptn/Tuba1a/Plxna1/Plxna3/Nptn/Nrp1/Cacna1a/Gfra1/Vldlr/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Kcnb1/Plxnd1/Vwc2l/Prag1/Islr2/Cttn/Lama2/Arhgef2/Lamb2/Cntn2/Bcan/Alcam/Dlg4/Dpysl3/Sema5a/Spock1/Epha6/Agtpbp1/Grm7/Crtc1/Git1/Prex1/Nlgn2/Tmem132e/Rgma/Dclk2/Sdk2/Tiam2/Rtn4rl2/Cyfip1/Plppr4/Robo2/Map6/Lrrc7/Snph/Plxna4/Arhgap33/Tnc/Negr1/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Rpl24/Kirrel3/Gprin3/Tnr/Lrrc4c/Rapgef2/Ngef/Plxnb1/Ahi1/Itpka/Iqsec1/Dock7/Ntng1/Crtac1/Wasf1/Mark1/Acsl6/Srgap2/Lrp1/Brinp1/Tspan2/Camk2g/Nptxr/Gpr37l1/Clstn3/Actr3/Rims1/Rtn4/Rtn4r/Ntm/Cntnap2/Nrxn1/Lingo1/Rpl4/Tsc1/Tubb3/Mapk8ip2/Rtn3/Lgi1/Nectin1/Pin1/Sema7a/Srcin1/Dbn1/Macf1/Map1a/Plxnc1/Atp2b2/Celsr2/Uchl1/Epb41l3/Tpbg/Twf2/Cpne6/Rasal1/Mecp2	182
BP	GO:0048666	neuron development	171/697	359/1959	1.33743664138263e-07	3.67054722247022e-05	3.14395768036711e-05	Agrn/Ptprs/Ptprz1/Akap5/Farp1/Dpysl2/Flot1/Numbl/Sema4d/Efnb3/Adam10/Hap1/Ctnnd2/Cntnap1/Strn/Pip5k1c/Atp9a/Adcy1/Thy1/Lamc1/Gfap/Cfh/Sod1/Nefl/Itgb1/Fn1/Camk2a/Itpr1/Cntn1/Ncam1/Atp1b2/Map1b/Ntrk2/Cnp/Ap2a1/Bsg/Lama1/Nefh/Gnaq/Gja1/Rasgrf1/Mt3/Camk2b/Kif5c/Grin1/Gpm6a/Gpm6b/Fyn/Cxcl12/Htt/Syt2/Cnr1/Cit/Efnb1/Efnb2/Ephb3/Cd38/Plp1/Snap25/Actr2/Lpar1/Rap1a/Rac1/Olfm3/Ptn/Tuba1a/Plxna1/Plxna3/Nptn/Nrp1/Cacna1a/Gfra1/Vldlr/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Kcnb1/Plxnd1/Prag1/Islr2/Cttn/Lama2/Lamb2/Cntn2/Bcan/Alcam/Dlg4/Dpysl3/Sema5a/Spock1/Epha6/Agtpbp1/Grm7/Crtc1/Git1/Prex1/Nlgn2/Tmem132e/Rgma/Dclk2/Tiam2/Rtn4rl2/Cyfip1/Plppr4/Robo2/Map6/Lrrc7/Plxna4/Arhgap33/Tnc/Negr1/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Rpl24/Kirrel3/Gprin3/Tnr/Lrrc4c/Rapgef2/Ngef/Plxnb1/Ahi1/Itpka/Iqsec1/Dock7/Ntng1/Crtac1/Wasf1/Mark1/Acsl6/Srgap2/Lrp1/Brinp1/Tspan2/Camk2g/Nptxr/Clstn3/Actr3/Rims1/Rtn4/Rtn4r/Ntm/Cntnap2/Nrxn1/Lingo1/Rpl4/Tsc1/Tubb3/Mapk8ip2/Lgi1/Nectin1/Sema7a/Srcin1/Dbn1/Macf1/Map1a/Plxnc1/Atp2b2/Celsr2/Uchl1/Epb41l3/Tpbg/Twf2/Cpne6/Rasal1/Mecp2	171
BP	GO:0034329	cell junction assembly	83/697	149/1959	1.44745548941586e-07	3.67054722247022e-05	3.14395768036711e-05	Agrn/Ptprs/Akap5/Nrxn2/Farp1/Flot1/Numbl/Sema4d/Efnb3/Ctnnd2/Cntnap1/Bsn/Thy1/Lamc1/Itgb1/Lrrc4b/Fn1/Ntrk2/Gja1/Gria1/Ctnnd1/Grin1/Gpm6a/Gpm6b/Itgav/Efnb1/Efnb2/Ephb3/Actn4/Mdga2/Rap1a/Rac1/Nptn/Nrp1/Cacna1a/Ctnnb1/Plxnd1/Adgrb1/Cttn/Icam5/Fscn1/Il1rap/Dlg4/Nlgn2/Nrxn3/Sdk2/Adgrl1/Adgrl3/Hapln4/Lrfn4/Negr1/Shank2/Amigo2/Adgrb3/Rap2a/Slitrk4/Nfasc/Dlg1/Kirrel3/Lrfn5/Rapgef2/Plxnb1/Dock7/Cadm1/Srgap2/Lrp1/Nptxr/Clstn3/Actr3/Cntnap2/Nrxn1/Tsc1/Clstn1/Nectin1/Srcin1/Plec/Macf1/Pclo/Coro1c/Dmtn/Epb41l3/Tpbg/Mecp2	83
BP	GO:0031175	neuron projection development	162/697	337/1959	1.48005936389928e-07	3.67054722247022e-05	3.14395768036711e-05	Agrn/Ptprs/Ptprz1/Akap5/Farp1/Dpysl2/Flot1/Numbl/Sema4d/Efnb3/Adam10/Hap1/Ctnnd2/Cntnap1/Strn/Pip5k1c/Atp9a/Adcy1/Thy1/Lamc1/Gfap/Sod1/Nefl/Itgb1/Fn1/Camk2a/Itpr1/Cntn1/Ncam1/Atp1b2/Map1b/Ntrk2/Cnp/Ap2a1/Bsg/Lama1/Nefh/Gja1/Rasgrf1/Mt3/Camk2b/Kif5c/Grin1/Gpm6a/Gpm6b/Fyn/Cxcl12/Syt2/Cnr1/Cit/Efnb1/Efnb2/Ephb3/Cd38/Plp1/Snap25/Actr2/Lpar1/Rap1a/Rac1/Ptn/Tuba1a/Plxna1/Plxna3/Nptn/Nrp1/Cacna1a/Gfra1/Vldlr/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Plxnd1/Prag1/Islr2/Cttn/Lama2/Lamb2/Cntn2/Bcan/Alcam/Dlg4/Dpysl3/Sema5a/Spock1/Epha6/Grm7/Crtc1/Git1/Prex1/Nlgn2/Rgma/Tiam2/Rtn4rl2/Cyfip1/Plppr4/Robo2/Map6/Lrrc7/Plxna4/Arhgap33/Tnc/Negr1/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Rpl24/Kirrel3/Gprin3/Tnr/Lrrc4c/Rapgef2/Ngef/Plxnb1/Ahi1/Itpka/Iqsec1/Dock7/Ntng1/Crtac1/Wasf1/Mark1/Acsl6/Srgap2/Lrp1/Tspan2/Camk2g/Nptxr/Clstn3/Actr3/Rims1/Rtn4/Rtn4r/Ntm/Cntnap2/Nrxn1/Lingo1/Rpl4/Tsc1/Tubb3/Mapk8ip2/Lgi1/Nectin1/Sema7a/Srcin1/Dbn1/Macf1/Map1a/Plxnc1/Atp2b2/Celsr2/Uchl1/Epb41l3/Tpbg/Twf2/Cpne6/Rasal1/Mecp2	162
