ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0072359	circulatory system development	70/609	155/2042	1.90709520956658e-05	0.0316848103289771	0.0293689865026612	Lrp2/Rnf213/Arid2/Hk2/Notch2/Adam10/Ilk/Fhl2/Adam15/Zfand5/Sp1/Col4a1/Anxa2/Col4a2/Itgb1/Pgk1/Anxa1/Fn1/Dnmt1/Insr/Ccn1/Bsg/Edn1/Gna13/Rxrb/Grn/Ccn2/Vcam1/Aimp1/Rbpj/Thbs1/Ldlr/Itgav/Lmna/Pkm/Ndufs6/Efnb2/Rap1a/Rac1/Cxadr/Shc1/Hspg2/Pdlim7/Dipk2a/Klf4/Fzd7/Slc9a1/Gata6/Pik3c2a/Fbn1/Myh10/Pds5a/Ctdp1/Naa15/Flrt2/Flna/Nsd2/Ndnf/Pdlim5/Pdlim2/Hnrnpu/Rnh1/Lrp1/Mthfd1/Hgs/Tnfrsf12a/Cacybp/Prkar1a/Pin1/Plec	70
BP	GO:0048513	animal organ development	139/609	358/2042	3.64769309125473e-05	0.0316848103289771	0.0293689865026612	Lrp2/Plxnb2/Mki67/Arid2/Casp6/Dctn1/Prkcsh/Flot1/Fkbp8/Notch2/Adam10/Ilk/Fhl2/Sorl1/Ugcg/Adam15/Zfand5/Actn3/Sp1/Col4a1/Lamc1/H2-K1/Itgb1/Anxa1/Ctsb/Fn1/Hsp90ab1/Insr/Nme1/Ccn1/Bsg/Rps6ka1/Fasn/Rpl13a/Edn1/Cat/Rxrb/Grn/Ccn2/Vcam1/Ahsg/Ctnnd1/Rbpj/Thbs1/Plaur/Itgav/Lmna/Pkm/Ndufs6/Efnb2/Rps6/Rac1/Plxna1/Ext2/Ldb1/Mcm2/Fhl1/Cxadr/Rbbp6/Bmp1/Shc1/Epha4/Hspg2/Krt80/Disp1/Pdlim7/Srsf6/Dipk2a/Mthfd1l/Pds5b/Ctc1/Ogdh/Myl6/Stxbp3/Klf4/Lama5/Fzd7/Slc9a1/Gata6/Lamb2/Traf4/Glg1/Fbn1/Fxr1/Phgdh/Ltbp3/Myh10/Ager/Sprr1a/Tead4/Trim28/Sf1/Cdkn2a/Gpd2/Pds5a/Fndc3b/Smchd1/Tubb2a/Ctdp1/Pgrmc2/Flnb/Aars1/Epb41l5/Flrt2/Rpl24/Flna/Nsd2/Map1s/Ndnf/Uba6/Tns2/Pdlim5/Phldb2/Pdlim2/Hnrnpu/Sec63/Npnt/Cd248/Slc27a4/Fbxl15/Lrp1/Mthfd1/Eif2s2/Rtcb/Raf1/Vkorc1/Cacybp/Prkar1a/Dazap1/Tacc3/Pias4/Pin1/Plec/Pcm1/Htra1/Nfkb2/Rnf7/Cav2/Ror1	139
BP	GO:0007507	heart development	42/609	83/2042	4.06911091553644e-05	0.0316848103289771	0.0293689865026612	Lrp2/Arid2/Notch2/Ilk/Fhl2/Adam15/Itgb1/Fn1/Insr/Ccn1/Edn1/Rxrb/Vcam1/Rbpj/Thbs1/Lmna/Efnb2/Rac1/Cxadr/Shc1/Hspg2/Pdlim7/Dipk2a/Fzd7/Slc9a1/Gata6/Fbn1/Myh10/Pds5a/Ctdp1/Flrt2/Flna/Nsd2/Pdlim5/Pdlim2/Hnrnpu/Lrp1/Mthfd1/Cacybp/Prkar1a/Pin1/Plec	42
BP	GO:0055007	cardiac muscle cell differentiation	18/609	27/2042	7.47976379896833e-05	0.0363042652073526	0.0336508081883221	Fhl2/Itgb1/Edn1/Rxrb/Rbpj/Lmna/Efnb2/Cxadr/Fzd7/Slc9a1/Gata6/Myh10/Ctdp1/Pdlim5/Hnrnpu/Cacybp/Pin1/Plec	18
BP	GO:0042692	muscle cell differentiation	37/609	72/2042	7.77060471047788e-05	0.0363042652073526	0.0336508081883221	Flot1/Atp2a2/Fhl2/Wdr1/Actn3/Lamc1/Itgb1/Dnmt1/Ptbp1/Edn1/Rxrb/Rbpj/Lmna/Efnb2/Csrp2/Csrp1/Cxadr/Fzd7/Slc9a1/Gata6/Lamb2/Myh10/Myof/Sort1/Ctdp1/Pdlim5/Hnrnpu/Flnc/Npnt/Smyd3/Cacybp/Prkar1a/Flii/Pin1/Plec/Uchl1/Cav2	37
CC	GO:0030312	external encapsulating structure	33/610	60/2058	2.79214532270184e-05	0.00517942957361191	0.00515812109614918	Agrn/Plxnb2/Cd151/Adam10/Col4a1/Lamc1/Anxa2/Col4a2/Itgb1/Anxa1/Ctsb/Fn1/Lgals1/Ccn1/Ccn2/Ahsg/Thbs1/Pkm/Bmp1/Hspg2/Lama5/Hcfc1/Lamb2/Glg1/Fbn1/Ltbp3/Cstb/Ndnf/Npnt/Hnrnpm/Ngly1/Plscr1/Htra1	33
CC	GO:0031012	extracellular matrix	33/610	60/2058	2.79214532270184e-05	0.00517942957361191	0.00515812109614918	Agrn/Plxnb2/Cd151/Adam10/Col4a1/Lamc1/Anxa2/Col4a2/Itgb1/Anxa1/Ctsb/Fn1/Lgals1/Ccn1/Ccn2/Ahsg/Thbs1/Pkm/Bmp1/Hspg2/Lama5/Hcfc1/Lamb2/Glg1/Fbn1/Ltbp3/Cstb/Ndnf/Npnt/Hnrnpm/Ngly1/Plscr1/Htra1	33
CC	GO:0062023	collagen-containing extracellular matrix	30/610	55/2058	8.05660517610848e-05	0.00996333506778749	0.00992234532215466	Agrn/Plxnb2/Cd151/Adam10/Col4a1/Lamc1/Anxa2/Col4a2/Itgb1/Anxa1/Ctsb/Fn1/Lgals1/Ccn1/Ahsg/Thbs1/Pkm/Bmp1/Hspg2/Lama5/Hcfc1/Lamb2/Fbn1/Ltbp3/Cstb/Npnt/Hnrnpm/Ngly1/Plscr1/Htra1	30
CC	GO:0005604	basement membrane	13/610	19/2058	0.000511052278333011	0.0474000988153868	0.0472050920249702	Agrn/Cd151/Col4a1/Lamc1/Anxa2/Col4a2/Itgb1/Fn1/Hspg2/Lama5/Lamb2/Fbn1/Npnt	13
MF	GO:0046872	metal ion binding	199/596	472/1996	4.16894587480559e-11	1.5675236489269e-08	1.4788786945363e-08	Lrp2/Agrn/Cisd3/Nfx1/Cad/Rnf213/Arid2/Helz2/Prkcsh/Galnt1/Polr1a/Notch2/Adam10/Nlk/Tnk2/Atp2a2/Fhl2/Adam15/Idh1/Zfand5/Actn3/Sp1/Mt2/Mt1/Anxa2/Itgb1/Anxa1/Tcea1/Fn1/Dnmt1/Nme1/Sptan1/Rps6ka1/Rps6ka3/Cat/Lta4h/Impdh2/Gna12/Gna13/Rxrb/Prkcd/Prim2/Thbs1/Canx/Ldlr/Kdm5c/Itgav/Adss2/Tes/Cit/Pkm/Cnbp/Idh2/Cox17/Nploc4/Polr2i/Abce1/Timm10/Rps29/Ppp2cb/Ran/Gtf2b/Crip1/Ext2/Phf5a/Mcm2/Csrp2/Csrp1/Fhl1/Rbbp6/Bmp1/Top2a/Sec23a/Nme2/Hspg2/Lyar/Marchf5/Pde12/Pdlim7/Sec24a/Rnf40/Spg7/Zc3hav1/Cdc42bpa/Arap1/Ehmt1/Ogdh/Myl6/Samhd1/P4ha1/P4ha2/Slc30a1/Klf4/Arhgef2/Adam9/Gata6/Traf4/Trim25/Ewsr1/Fbn1/Lasp1/Ltbp3/Trim28/Fstl1/Vat1/Sf1/Sqstm1/Adh7/Gpd2/Gart/Sp9/Sh3rf1/Myof/Pdzrn3/Chd4/Gmip/Uhrf2/Tubb2a/Zfyve16/Trim56/Rnf168/Lpp/Aars1/Fbxo30/Asph/Cnot4/Nsd2/Nob1/Trim47/Mbnl2/Zfp57/Polr2b/Tns2/Eprs1/Pdlim5/Ppat/Nek9/Ndufs8/Acat1/Mbnl3/Ilkap/Pdlim2/Rnpep/Uhrf1/Lmcd1/Gatad2b/Ciapin1/Npnt/Acly/Cd248/Ndufs1/Daglb/Zfand2b/Ajuba/Dus3l/Rnf126/Ndufv1/Lrp1/Etfdh/Traf7/Mtarc2/Eif2s2/Rtcb/Hgs/Park7/Dnaja3/Raf1/Ino80b/Znhit3/Smyd3/Cxxc1/Cenpv/Mis18a/Shmt2/Cyc1/Ppa1/Zfand6/Crip2/Atp13a1/Ranbp2/Nek6/Ngly1/Plscr3/Plscr1/Iqgap1/Pias4/Myo9b/Dnaja2/Fhl3/Nubp1/Rnf7/Ccs/Racgap1/Adgre5/Ehmt2/Trip6/Baz1b/Mbd1/Sucla2	199
MF	GO:0043169	cation binding	201/596	481/1996	8.84936473283926e-11	1.66368056977378e-08	1.56959784998254e-08	Lrp2/Agrn/Cisd3/Nfx1/Cad/Rnf213/Arid2/Helz2/Prkcsh/Galnt1/Polr1a/Notch2/Adam10/Nlk/Tnk2/Atp2a2/Fhl2/Adam15/Idh1/Zfand5/Actn3/Sp1/Mt2/Mt1/Anxa2/Itgb1/Anxa1/Tcea1/Fn1/Dnmt1/Nme1/Sptan1/Rps6ka1/Rps6ka3/Cat/Lta4h/Impdh2/Gna12/Gna13/Rxrb/Prkcd/Prim2/Thbs1/Canx/Ldlr/Kdm5c/Itgav/Adss2/Tes/Cit/Pcyt1a/Pkm/Cnbp/Idh2/Cox17/Nploc4/Polr2i/Abce1/Timm10/Rps29/Ppp2cb/Ran/Gtf2b/Crip1/Ext2/Phf5a/Mcm2/Csrp2/Csrp1/Fhl1/Rbbp6/Bmp1/Top2a/Sec23a/Nme2/Hspg2/Lyar/Marchf5/Pde12/Pdlim7/Sec24a/Rnf40/Spg7/Zc3hav1/Cdc42bpa/Arap1/Ehmt1/Ogdh/Myl6/Samhd1/P4ha1/P4ha2/Slc30a1/Klf4/Arhgef2/Adam9/Gata6/Traf4/Trim25/Ewsr1/Fbn1/Lasp1/Ltbp3/Trim28/Fstl1/Vat1/Sf1/Sqstm1/Adh7/Gpd2/Gart/Sp9/Sh3rf1/Myof/Pdzrn3/Chd4/Gmip/Uhrf2/Tubb2a/Zfyve16/Trim56/Rnf168/Lpp/Aars1/Fbxo30/Asph/Cnot4/Nsd2/Nob1/Trim47/Mbnl2/Zfp57/Polr2b/Tns2/Eprs1/Pdlim5/Ppat/Nek9/Ndufs8/Acat1/Mbnl3/Ilkap/Pdlim2/Rnpep/Uhrf1/Lmcd1/Gatad2b/Ciapin1/Npnt/Acly/Cd248/Ndufs1/Daglb/Zfand2b/Ajuba/Dus3l/Rnf126/Ndufv1/Lrp1/Etfdh/Traf7/Mtarc2/Eif2s2/Rtcb/Hgs/Park7/Dnaja3/Raf1/Ino80b/Znhit3/Smyd3/Cxxc1/Cenpv/Mis18a/Shmt2/Rars1/Cyc1/Ppa1/Zfand6/Crip2/Atp13a1/Ranbp2/Nek6/Ngly1/Plscr3/Plscr1/Iqgap1/Pias4/Myo9b/Dnaja2/Fhl3/Nubp1/Rnf7/Ccs/Racgap1/Adgre5/Ehmt2/Trip6/Baz1b/Mbd1/Sucla2	201
MF	GO:0008270	zinc ion binding	52/596	83/1996	2.67235244304083e-10	3.34934839527784e-08	3.1599395554553e-08	Nfx1/Cad/Zfand5/Mt2/Mt1/Tcea1/Dnmt1/Lta4h/Rxrb/Kdm5c/Tes/Cnbp/Polr2i/Rps29/Gtf2b/Crip1/Phf5a/Rbbp6/Bmp1/Sec23a/Marchf5/Sec24a/Spg7/Ehmt1/Samhd1/Gata6/Traf4/Trim28/Vat1/Sf1/Sqstm1/Adh7/Pdzrn3/Trim56/Fbxo30/Trim47/Eprs1/Rnpep/Uhrf1/Lmcd1/Gatad2b/Zfand2b/Traf7/Cxxc1/Shmt2/Zfand6/Plscr1/Pias4/Myo9b/Rnf7/Ehmt2/Mbd1	52
MF	GO:0046914	transition metal ion binding	63/596	121/1996	1.10228004265874e-07	1.03614324009922e-05	9.77548353621041e-06	Nfx1/Cad/Galnt1/Zfand5/Mt2/Mt1/Tcea1/Fn1/Dnmt1/Lta4h/Rxrb/Kdm5c/Tes/Cnbp/Cox17/Polr2i/Abce1/Rps29/Gtf2b/Crip1/Phf5a/Rbbp6/Bmp1/Sec23a/Marchf5/Sec24a/Spg7/Ehmt1/Samhd1/P4ha1/P4ha2/Gata6/Traf4/Trim28/Vat1/Sf1/Sqstm1/Adh7/Pdzrn3/Trim56/Fbxo30/Trim47/Eprs1/Rnpep/Uhrf1/Lmcd1/Gatad2b/Ciapin1/Zfand2b/Traf7/Mtarc2/Park7/Cxxc1/Shmt2/Zfand6/Plscr3/Plscr1/Pias4/Myo9b/Rnf7/Ccs/Ehmt2/Mbd1	63
