ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007155	cell adhesion	186/1157	355/3188	3.64083444311932e-11	1.15378043502451e-07	9.91839951451875e-08	Ptprs/Ildr2/Ptprz1/Nrxn2/Flot1/Sema4d/Ncam2/Efnb3/Edil3/Adam10/Myadm/Ctnnd2/Cntnap1/Pip5k1c/Nid2/Klc1/Thy1/Lamc1/Cfh/Itgb1/Lrrc4b/Fn1/Cntn1/Ncam1/Atp1b1/Calr/Atp1b2/Ppia/Bsg/Lama1/Vcam1/Ctnnd1/Cd81/Gpm6b/Cxcl12/Itgav/Efnb1/Efnb2/Ephb3/Ncan/Actn4/Ripk2/Mdga2/Rap2b/Rhob/Rac1/Hspd1/Ptn/Gnas/Dlg3/Plxna1/Plxna3/Nptn/Nrp1/Cxadr/Sirpa/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Hspg2/Itgb8/Plxnd1/Cttn/Icam5/Lama2/Adam9/Astn1/Prdx2/Lamb2/Cntn2/Bcan/Cd55/Alcam/Hsph1/Il1rap/Mog/Vcan/Dlg4/Sema5a/Spock1/Ccn3/Prex1/Nlgn2/Megf10/Nrxn3/Magi1/Sdk2/Cspg5/Robo2/Lrrc7/Adgrl1/Adgrl3/Plxna4/Hapln4/Lrfn4/Tnc/Astn2/Negr1/Amigo2/Nfasc/Nrcam/Dlg1/Tspan9/Lsamp/Kirrel3/Rell2/Lrfn5/Tnr/Lrrc4c/Plxnb1/Cadm4/Ntng1/Cadm1/Cd99/Lrp1/Clstn3/Cadm3/Rtn4/Ntm/P2ry12/Cntnap2/Nrxn1/Prkar1a/Tsc1/Clstn1/Spock2/Nectin1/Tesc/Srcin1/Dbn1/Macf1/Plxnc1/Celsr2/Adam23/Coro1c/Dmtn/Plcb1/Plxnb2/Troap/Arid2/Slk/Ilk/F11r/Adam15/Actn3/H2-K1/Anxa1/Lgals1/Ccn1/Tln1/Pdia3/Prkcd/Ccn2/Rbpj/Thbs1/Plaur/Igfbp2/Rps3/Ldb1/Shc1/Spg7/Stxbp3/Klf4/Lama5/Fzd7/Fbn1/Myh10/Ager/Cdkn2a/Fndc3b/Lpp/Epb41l5/Rcc2/Flrt2/Flna/Ndnf/Phldb2/Npnt/Ajuba/Dnaja3/Tnfrsf12a/Iqgap1/Adgre5/Trip6	186
BP	GO:0048699	generation of neurons	237/1157	491/3188	2.21527301428036e-09	3.51010009112724e-06	3.01743503208294e-06	Agrn/Ptprs/Ptprz1/Akap5/Farp1/Bin1/Dpysl2/Flot1/Numbl/Sema4d/Efnb3/Notch2/Adam10/Hap1/Ctnnd2/Cntnap1/Strn/Pip5k1c/Atp9a/Adcy1/Thy1/Lamc1/Gfap/Cfh/Sod1/Nefl/Itgb1/Fn1/Camk2a/Itpr1/Cntn1/Ncam1/Calr/Atp1b2/Map1b/Ntrk2/Cnp/Ap2a1/Ppia/Bsg/Lama1/Nefh/Gnaq/Gja1/Rasgrf1/Mt3/Camk2b/Kif5c/Vcam1/Grin1/Gpm6a/Gpm6b/Fyn/Cxcl12/Htt/Syt2/Cnr1/Cit/Efnb1/Efnb2/Ephb3/Ncan/Cd38/Plp1/Mdga2/Snap25/Actr2/Lpar1/Rap1a/Rac1/Olfm3/Ptn/Tuba1a/Plxna1/Plxna3/Nptn/Nrp1/Cacna1a/Gfra1/Vldlr/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Kcnb1/Plxnd1/Vwc2l/Prag1/Islr2/Cttn/Lama2/Arhgef2/Astn1/Lamb2/Cntn2/Bcan/Alcam/Vcan/Dlg4/Dpysl3/Sema5a/Spock1/Epha6/Agtpbp1/Grm7/Crtc1/Git1/Prex1/Nlgn2/Tmem132e/Rgma/Dclk2/Sdk2/Dagla/Tiam2/Rtn4rl2/Cyfip1/Plppr4/Robo2/Tafa1/Map6/Lrrc7/Adgrl3/Snph/Plxna4/Hapln4/Arhgap33/Tnc/Astn2/Negr1/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Rpl24/Kirrel3/Gprin3/Tnr/Lrrc4c/Rapgef2/Ngef/Plxnb1/Ahi1/Itpka/Iqsec1/Dock7/Ntng1/Crtac1/Wasf1/Mark1/Acsl6/Daglb/Srgap2/Lrp1/Brinp1/Tspan2/Camk2g/Nptxr/Gpr37l1/Clstn3/Actr3/Rims1/Rtn4/Rtn4r/Ntm/Cntnap2/Nrxn1/Lingo1/Rpl4/Tsc1/Tubb3/Mapk8ip2/Rtn3/Lgi1/Nectin1/Pin1/Sema7a/Srcin1/Dbn1/Macf1/Map1a/Plxnc1/Atp2b2/Celsr2/Uchl1/Epb41l3/Tpbg/Twf2/Cpne6/Rasal1/Mecp2/Cul4b/Lrp2/Plxnb2/Casp6/Prkcsh/Fkbp8/Mapkapk5/Septin7/Ilk/Ugcg/H2-K1/Hsp90ab1/Nme1/Lgals1/Ptbp1/Edn1/Plaa/Grn/Rbpj/Ldb1/Shc1/Nme2/Ect2/Ogdh/Klf4/Lama5/Phgdh/Myh10/Ager/Sh3rf1/Eif4g1/Flrt2/Flna/Map1s/Ndnf/Uba6/Pdlim5/Nepro/Tnfrsf12a/Iqgap1/Pcm1/Racgap1/Ror1/Ehmt2	237
BP	GO:0034329	cell junction assembly	102/1157	182/3188	1.82506480624749e-08	1.52955439702324e-05	1.31487162794046e-05	Agrn/Ptprs/Akap5/Nrxn2/Farp1/Flot1/Numbl/Sema4d/Efnb3/Ctnnd2/Cntnap1/Bsn/Thy1/Lamc1/Itgb1/Lrrc4b/Fn1/Ntrk2/Gja1/Gria1/Ctnnd1/Grin1/Gpm6a/Gpm6b/Itgav/Efnb1/Efnb2/Ephb3/Actn4/Mdga2/Rap1a/Rac1/Nptn/Nrp1/Cacna1a/Ctnnb1/Plxnd1/Adgrb1/Cttn/Icam5/Fscn1/Il1rap/Dlg4/Nlgn2/Nrxn3/Sdk2/Adgrl1/Adgrl3/Hapln4/Lrfn4/Negr1/Shank2/Amigo2/Adgrb3/Rap2a/Slitrk4/Nfasc/Dlg1/Kirrel3/Lrfn5/Rapgef2/Plxnb1/Dock7/Cadm1/Srgap2/Lrp1/Nptxr/Clstn3/Actr3/Cntnap2/Nrxn1/Tsc1/Clstn1/Nectin1/Srcin1/Plec/Macf1/Pclo/Coro1c/Dmtn/Epb41l3/Tpbg/Mecp2/Plxnb2/Slk/Wdr1/F11r/Actn3/Tln1/Rps6/Ldb1/Ect2/Eif4g1/Chd4/Epb41l5/Rcc2/Flrt2/Pdlim5/Phldb2/Ajuba/Iqgap1/Adgre5	102
BP	GO:0034330	cell junction organization	172/1157	343/3188	1.93064613066991e-08	1.52955439702324e-05	1.31487162794046e-05	Ckap5/Ajm1/Agrn/Ptprs/Frrs1l/Akap5/Nrxn2/Farp1/Dctn1/Flot1/Numbl/Sema4d/Efnb3/Adam10/Ctnnd2/Cntnap1/Cacng2/Bsn/Thy1/Lamc1/Nefl/Itgb1/Lrrc4b/Fn1/Insr/Ntrk2/Gja1/Gria1/Camk2b/Ctnnd1/Grin2a/Grin1/Gpm6a/Gpm6b/Fyn/Itgav/Rph3a/Efnb1/Efnb2/Ephb3/Ncan/Actn4/Arhgap39/Mdga2/Actr2/Rhob/Rap1a/Rac1/Ptn/Tuba1a/Nptn/Nrp1/Cacna1a/Cxadr/Grin2b/Ctnnb1/Epha4/Iqsec3/Plxnd1/Shisa6/Adgrb1/Camkv/Sorbs2/Grm5/Cttn/Icam5/Lamb2/Cntn2/Bcan/Fscn1/Il1rap/Dlg4/Nlgn2/Dgkb/Nrxn3/Sort1/Sdk2/Abhd17b/Cyfip1/Adgrl1/Adgrl3/Plxna4/Hapln4/Lrfn4/Cnksr2/Arhgap33/Tnc/Negr1/Shank2/Amigo2/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Dlg1/Kirrel3/Gphn/Lrfn5/Tnr/Lrrc4c/Shisa7/Gpr158/Synpo/Rapgef2/Ngef/Plxnb1/Slc8a2/Itpka/Iqsec1/Dock7/Ntng1/Wasf1/Cadm1/Abhd17c/Srgap2/Lrp1/Nptxr/Clstn3/Abhd17a/Actr3/Cntnap2/Nrxn1/Tsc1/Clstn1/Nbea/Nectin1/Pin1/Srcin1/Plec/Dbn1/Macf1/Add1/Pclo/Plxnc1/Atp2b2/Coro1c/Dmtn/Epb41l3/Tpbg/Cpne6/Mecp2/Plxnb2/Slk/Septin7/Wdr1/F11r/Actn3/Col4a1/Tln1/Grn/Rps6/Ldb1/Vcp/Ect2/Lama5/Myh10/Pdzrn3/Eif4g1/Chd4/Epb41l5/Rcc2/Flrt2/Flna/Pdlim5/Phldb2/Ajuba/Dnaja3/Erc1/Hnrnpm/Iqgap1/Adgre5	172
BP	GO:0030182	neuron differentiation	223/1157	467/3188	2.55064548504261e-08	1.61659910842001e-05	1.38969905585058e-05	Agrn/Ptprs/Ptprz1/Akap5/Farp1/Bin1/Dpysl2/Flot1/Numbl/Sema4d/Efnb3/Adam10/Hap1/Ctnnd2/Cntnap1/Strn/Pip5k1c/Atp9a/Adcy1/Thy1/Lamc1/Gfap/Cfh/Sod1/Nefl/Itgb1/Fn1/Camk2a/Itpr1/Cntn1/Ncam1/Calr/Atp1b2/Map1b/Ntrk2/Cnp/Ap2a1/Ppia/Bsg/Lama1/Nefh/Gnaq/Gja1/Rasgrf1/Mt3/Camk2b/Kif5c/Vcam1/Grin1/Gpm6a/Gpm6b/Fyn/Cxcl12/Htt/Syt2/Cnr1/Cit/Efnb1/Efnb2/Ephb3/Cd38/Plp1/Snap25/Actr2/Lpar1/Rap1a/Rac1/Olfm3/Ptn/Tuba1a/Plxna1/Plxna3/Nptn/Nrp1/Cacna1a/Gfra1/Vldlr/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Kcnb1/Plxnd1/Vwc2l/Prag1/Islr2/Cttn/Lama2/Arhgef2/Lamb2/Cntn2/Bcan/Alcam/Dlg4/Dpysl3/Sema5a/Spock1/Epha6/Agtpbp1/Grm7/Crtc1/Git1/Prex1/Nlgn2/Tmem132e/Rgma/Dclk2/Sdk2/Tiam2/Rtn4rl2/Cyfip1/Plppr4/Robo2/Map6/Lrrc7/Snph/Plxna4/Arhgap33/Tnc/Negr1/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Rpl24/Kirrel3/Gprin3/Tnr/Lrrc4c/Rapgef2/Ngef/Plxnb1/Ahi1/Itpka/Iqsec1/Dock7/Ntng1/Crtac1/Wasf1/Mark1/Acsl6/Srgap2/Lrp1/Brinp1/Tspan2/Camk2g/Nptxr/Gpr37l1/Clstn3/Actr3/Rims1/Rtn4/Rtn4r/Ntm/Cntnap2/Nrxn1/Lingo1/Rpl4/Tsc1/Tubb3/Mapk8ip2/Rtn3/Lgi1/Nectin1/Pin1/Sema7a/Srcin1/Dbn1/Macf1/Map1a/Plxnc1/Atp2b2/Celsr2/Uchl1/Epb41l3/Tpbg/Twf2/Cpne6/Rasal1/Mecp2/Cul4b/Lrp2/Plxnb2/Casp6/Prkcsh/Fkbp8/Mapkapk5/Septin7/Ilk/Ugcg/H2-K1/Hsp90ab1/Nme1/Lgals1/Ptbp1/Edn1/Plaa/Grn/Rbpj/Ldb1/Shc1/Nme2/Ect2/Ogdh/Klf4/Lama5/Phgdh/Myh10/Ager/Eif4g1/Flrt2/Flna/Map1s/Ndnf/Uba6/Pdlim5/Nepro/Tnfrsf12a/Iqgap1/Ror1/Ehmt2	223
BP	GO:0007416	synapse assembly	62/1157	100/3188	9.98520436212463e-08	4.05339313788903e-05	3.4844734154413e-05	Agrn/Ptprs/Akap5/Nrxn2/Farp1/Numbl/Sema4d/Efnb3/Bsn/Lrrc4b/Ntrk2/Gria1/Grin1/Gpm6a/Efnb1/Efnb2/Ephb3/Mdga2/Nptn/Cacna1a/Ctnnb1/Plxnd1/Adgrb1/Icam5/Il1rap/Dlg4/Nlgn2/Nrxn3/Sdk2/Adgrl1/Adgrl3/Hapln4/Lrfn4/Negr1/Shank2/Amigo2/Adgrb3/Rap2a/Slitrk4/Kirrel3/Lrfn5/Plxnb1/Dock7/Cadm1/Srgap2/Nptxr/Clstn3/Actr3/Cntnap2/Nrxn1/Clstn1/Nectin1/Srcin1/Pclo/Tpbg/Mecp2/Plxnb2/Eif4g1/Chd4/Flrt2/Pdlim5/Adgre5	62
BP	GO:0023056	positive regulation of signaling	214/1157	451/3188	1.02178194073895e-07	4.05339313788903e-05	3.4844734154413e-05	Ckap5/Akap5/Flot1/Sema4d/Map3k5/Efnb3/Notch2/Hap1/Sorl1/Adcy1/Cacng2/Lamc1/Gfap/Ctsl/Sod1/Gnai2/Itgb1/Fn1/Gpx1/Camk2a/Itpr1/Ncam1/Calr/Glul/Insr/Ntrk2/Gapdh/Ppia/Ctsd/Lama1/Gna11/Gnaq/Gja1/Gria1/Cat/Rasgrf1/Mt3/Camk2b/Grin2a/Grin1/Cd81/Fyn/Cxcl12/Htt/Itgav/Nsf/Map2k4/Ppp3cb/Cd38/Actn4/Ripk2/Nrgn/Snap25/Lpar1/Rpl23/Rap1a/Rac1/Ptn/Gnas/Dynll1/Prkcg/Rps12/Prkcb/Ntsr2/Rasgrf2/Irs2/Nptn/Nrp1/Rgs14/Grin2b/Egfr/Notch1/Ctnnb1/Epha4/Igfbp5/Agap2/Slc30a10/Grm5/Prag1/Adora1/Lama2/Adam9/Prdx2/Lamb2/Dlg4/Ddx3x/Sema5a/Ccn3/Crtc1/Grm4/Nlgn2/Slc39a10/Camk2d/Ube2o/Mtch2/Cyfip1/Robo2/Daam2/Madd/Rab3gap1/C2cd2l/Shank2/Tmem198/Rell2/Csnk1g1/Slc24a2/Tnr/Shisa7/Gpr158/Map2k7/Gpc3/Rapgef2/Plxnb1/Slc8a2/Tspan14/Dusp15/Wasf1/Zdhhc5/Hpx/Necab2/Lrp1/Tardbp/Spred1/Gpr37l1/Clstn3/Park7/Rims1/Rtn4/Rtn4r/P2ry12/Nrxn1/Synj2bp/Prkar1a/Clstn1/Mapk8ip2/Gucy1a1/Lgi1/Lancl2/Pin1/Sema7a/Dbn1/Macf1/Serinc3/Gabbr1/Mpp2/Tpbg/Plcb1/P2rx7/Mecp2/Lrp2/Fkbp8/Ilk/F11r/Anxa2/Hsp90ab1/Lmnb1/Ptbp1/Ccn1/Edn1/Pdia3/Prkcd/Ccn2/Aimp1/Rbpj/Mif/Thbs1/Plaur/Rps20/Rps3/Pebp1/Hint1/Shc1/Vcp/Pip4p1/Zc3hav1/Arap1/Slc9a1/Gata6/Hcfc1/Traf4/Trim25/Fxr1/Ager/Sqstm1/Cdkn2a/Sh3rf1/Pum1/Trim56/Rraga/Nup93/Lars1/Flna/Cherp/Rell1/Nepro/Lmcd1/Npnt/Ddx1/Fbxl15/Ajuba/Traf7/Raf1/Tnfrsf12a/Rpl11/Oxct1/Oga/Ddx21/Plscr1/Iqgap1/Pias4/Tbk1/Cav2/Ror1/Trip6	214
BP	GO:0048666	neuron development	205/1157	429/3188	1.02326112663655e-07	4.05339313788903e-05	3.4844734154413e-05	Agrn/Ptprs/Ptprz1/Akap5/Farp1/Dpysl2/Flot1/Numbl/Sema4d/Efnb3/Adam10/Hap1/Ctnnd2/Cntnap1/Strn/Pip5k1c/Atp9a/Adcy1/Thy1/Lamc1/Gfap/Cfh/Sod1/Nefl/Itgb1/Fn1/Camk2a/Itpr1/Cntn1/Ncam1/Atp1b2/Map1b/Ntrk2/Cnp/Ap2a1/Bsg/Lama1/Nefh/Gnaq/Gja1/Rasgrf1/Mt3/Camk2b/Kif5c/Grin1/Gpm6a/Gpm6b/Fyn/Cxcl12/Htt/Syt2/Cnr1/Cit/Efnb1/Efnb2/Ephb3/Cd38/Plp1/Snap25/Actr2/Lpar1/Rap1a/Rac1/Olfm3/Ptn/Tuba1a/Plxna1/Plxna3/Nptn/Nrp1/Cacna1a/Gfra1/Vldlr/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Kcnb1/Plxnd1/Prag1/Islr2/Cttn/Lama2/Lamb2/Cntn2/Bcan/Alcam/Dlg4/Dpysl3/Sema5a/Spock1/Epha6/Agtpbp1/Grm7/Crtc1/Git1/Prex1/Nlgn2/Tmem132e/Rgma/Dclk2/Tiam2/Rtn4rl2/Cyfip1/Plppr4/Robo2/Map6/Lrrc7/Plxna4/Arhgap33/Tnc/Negr1/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Rpl24/Kirrel3/Gprin3/Tnr/Lrrc4c/Rapgef2/Ngef/Plxnb1/Ahi1/Itpka/Iqsec1/Dock7/Ntng1/Crtac1/Wasf1/Mark1/Acsl6/Srgap2/Lrp1/Brinp1/Tspan2/Camk2g/Nptxr/Clstn3/Actr3/Rims1/Rtn4/Rtn4r/Ntm/Cntnap2/Nrxn1/Lingo1/Rpl4/Tsc1/Tubb3/Mapk8ip2/Lgi1/Nectin1/Sema7a/Srcin1/Dbn1/Macf1/Map1a/Plxnc1/Atp2b2/Celsr2/Uchl1/Epb41l3/Tpbg/Twf2/Cpne6/Rasal1/Mecp2/Cul4b/Lrp2/Plxnb2/Casp6/Prkcsh/Mapkapk5/Septin7/Ilk/Ugcg/H2-K1/Hsp90ab1/Nme1/Lgals1/Ptbp1/Edn1/Plaa/Grn/Shc1/Nme2/Ogdh/Klf4/Lama5/Phgdh/Myh10/Ager/Flrt2/Flna/Map1s/Ndnf/Uba6/Pdlim5/Tnfrsf12a/Iqgap1/Ror1	205
BP	GO:0050808	synapse organization	136/1157	265/3188	1.28010075684634e-07	4.50737699827339e-05	3.87473772949512e-05	Ckap5/Agrn/Ptprs/Frrs1l/Akap5/Nrxn2/Farp1/Dctn1/Numbl/Sema4d/Efnb3/Adam10/Ctnnd2/Cntnap1/Cacng2/Bsn/Nefl/Itgb1/Lrrc4b/Insr/Ntrk2/Gria1/Camk2b/Grin2a/Grin1/Gpm6a/Fyn/Rph3a/Efnb1/Efnb2/Ephb3/Ncan/Arhgap39/Mdga2/Actr2/Rhob/Rac1/Ptn/Tuba1a/Nptn/Nrp1/Cacna1a/Grin2b/Ctnnb1/Epha4/Iqsec3/Plxnd1/Shisa6/Adgrb1/Camkv/Sorbs2/Grm5/Cttn/Icam5/Lamb2/Cntn2/Bcan/Il1rap/Dlg4/Nlgn2/Dgkb/Nrxn3/Sort1/Sdk2/Abhd17b/Cyfip1/Adgrl1/Adgrl3/Plxna4/Hapln4/Lrfn4/Cnksr2/Arhgap33/Tnc/Negr1/Shank2/Amigo2/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Kirrel3/Gphn/Lrfn5/Tnr/Lrrc4c/Shisa7/Gpr158/Synpo/Ngef/Plxnb1/Slc8a2/Itpka/Dock7/Ntng1/Wasf1/Cadm1/Abhd17c/Srgap2/Nptxr/Clstn3/Abhd17a/Actr3/Cntnap2/Nrxn1/Tsc1/Clstn1/Nbea/Nectin1/Pin1/Srcin1/Dbn1/Pclo/Plxnc1/Atp2b2/Tpbg/Cpne6/Mecp2/Plxnb2/Septin7/Col4a1/Grn/Vcp/Lama5/Myh10/Pdzrn3/Eif4g1/Chd4/Flrt2/Flna/Pdlim5/Dnaja3/Erc1/Hnrnpm/Adgre5	136
BP	GO:0031175	neuron projection development	194/1157	404/3188	1.55233951091684e-07	4.51692193052657e-05	3.88294296929225e-05	Agrn/Ptprs/Ptprz1/Akap5/Farp1/Dpysl2/Flot1/Numbl/Sema4d/Efnb3/Adam10/Hap1/Ctnnd2/Cntnap1/Strn/Pip5k1c/Atp9a/Adcy1/Thy1/Lamc1/Gfap/Sod1/Nefl/Itgb1/Fn1/Camk2a/Itpr1/Cntn1/Ncam1/Atp1b2/Map1b/Ntrk2/Cnp/Ap2a1/Bsg/Lama1/Nefh/Gja1/Rasgrf1/Mt3/Camk2b/Kif5c/Grin1/Gpm6a/Gpm6b/Fyn/Cxcl12/Syt2/Cnr1/Cit/Efnb1/Efnb2/Ephb3/Cd38/Plp1/Snap25/Actr2/Lpar1/Rap1a/Rac1/Ptn/Tuba1a/Plxna1/Plxna3/Nptn/Nrp1/Cacna1a/Gfra1/Vldlr/Egfr/Notch1/Ctnnb1/Epha4/Aplp1/Plxnd1/Prag1/Islr2/Cttn/Lama2/Lamb2/Cntn2/Bcan/Alcam/Dlg4/Dpysl3/Sema5a/Spock1/Epha6/Grm7/Crtc1/Git1/Prex1/Nlgn2/Rgma/Tiam2/Rtn4rl2/Cyfip1/Plppr4/Robo2/Map6/Lrrc7/Plxna4/Arhgap33/Tnc/Negr1/Adgrb3/Rap2a/Slitrk4/Nfasc/Nrcam/Rpl24/Kirrel3/Gprin3/Tnr/Lrrc4c/Rapgef2/Ngef/Plxnb1/Ahi1/Itpka/Iqsec1/Dock7/Ntng1/Crtac1/Wasf1/Mark1/Acsl6/Srgap2/Lrp1/Tspan2/Camk2g/Nptxr/Clstn3/Actr3/Rims1/Rtn4/Rtn4r/Ntm/Cntnap2/Nrxn1/Lingo1/Rpl4/Tsc1/Tubb3/Mapk8ip2/Lgi1/Nectin1/Sema7a/Srcin1/Dbn1/Macf1/Map1a/Plxnc1/Atp2b2/Celsr2/Uchl1/Epb41l3/Tpbg/Twf2/Cpne6/Rasal1/Mecp2/Cul4b/Lrp2/Plxnb2/Casp6/Prkcsh/Mapkapk5/Septin7/Ilk/H2-K1/Hsp90ab1/Nme1/Lgals1/Ptbp1/Edn1/Plaa/Grn/Shc1/Nme2/Klf4/Lama5/Phgdh/Myh10/Ager/Flrt2/Flna/Map1s/Ndnf/Uba6/Pdlim5/Tnfrsf12a/Iqgap1/Ror1	194
